Comunidad autonoma,Estacion,Altura,Mes,T,TM,Tm,R,H,DR,DN,DT,DF,DH,DD,I
Comunidad Valenciana,Elche aeropuerto,43,Febrero,12.3,17.4,7.1,20,61,2.9,0.0,0.5,1.0,0.2,5.7,179
Comunidad Valenciana,Elche aeropuerto,43,Marzo,14.0,19.4,8.7,20,60,3.1,0.0,0.5,1.1,0.1,5.8,221
Comunidad Valenciana,Elche aeropuerto,43,Abril,15.9,21.1,10.7,27,57,3.7,0.0,1.4,0.6,0.0,4.9,251
Comunidad Valenciana,Elche aeropuerto,43,Mayo,18.9,23.8,13.9,28,59,3.7,0.0,2.0,0.3,0.0,5.1,291
Comunidad Valenciana,Elche aeropuerto,43,Junio,22.8,27.6,18.0,10,58,1.6,0.0,1.5,0.2,0.0,8.8,316
Comunidad Valenciana,Elche aeropuerto,43,Julio,25.5,30.1,20.8,4,59,0.7,0.0,0.8,0.1,0.0,14.5,344
Comunidad Valenciana,Elche aeropuerto,43,Agosto,26.1,30.7,21.5,5,61,0.9,0.0,1.1,0.1,0.0,11.2,313
Comunidad Valenciana,Elche aeropuerto,43,Septiembre,23.8,28.5,19.0,40,63,3.3,0.0,3.1,0.1,0.0,5.6,243
Comunidad Valenciana,Elche aeropuerto,43,Octubre,19.8,24.7,14.9,46,64,4.1,0.0,2.0,0.4,0.0,4.4,218
Comunidad Valenciana,Elche aeropuerto,43,Noviembre,15.4,20.3,10.6,34,64,3.8,0.0,0.7,0.2,0.0,5.5,174
Comunidad Valenciana,Elche aeropuerto,43,Diciembre,12.5,17.3,7.5,22,63,3.7,0.0,0.4,0.4,0.1,6.1,165
Comunidad Valenciana,Castellon,43,Enero,10.6,15.3,5.8,36,67,4.2,0.0,0.3,0.5,0.7,8.0,180
Comunidad Valenciana,Castellon,43,Febrero,11.3,16.2,6.4,31,66,3.5,0.0,0.2,1.2,0.7,6.3,179
Comunidad Valenciana,Castellon,43,Marzo,13.4,18.5,8.3,31,64,3.3,0.0,0.3,1.4,0.0,6.6,209
Comunidad Valenciana,Castellon,43,Abril,15.4,20.5,10.3,42,63,4.6,0.0,1.7,0.7,0.0,4.6,235
Comunidad Valenciana,Castellon,43,Mayo,18.5,23.4,13.6,44,63,4.7,0.0,2.3,0.2,0.0,5.0,272
Comunidad Valenciana,Castellon,43,Junio,22.5,27.3,17.6,19,63,2.8,0.0,2.7,0.1,0.0,8.4,296
Comunidad Valenciana,Castellon,43,Julio,25.3,30.0,20.6,9,64,1.4,0.0,2.1,0.0,0.0,11.7,329
Comunidad Valenciana,Castellon,43,Agosto,25.6,30.3,20.9,24,66,2.4,0.0,3.9,0.0,0.0,7.9,290
Comunidad Valenciana,Castellon,43,Septiembre,22.9,27.6,18.1,71,68,5.0,0.0,3.9,0.1,0.0,5.2,229
Comunidad Valenciana,Castellon,43,Octubre,19.0,23.5,14.4,70,69,5.0,0.0,2.7,0.2,0.0,4.8,203
Comunidad Valenciana,Castellon,43,Noviembre,14.3,18.8,9.8,49,68,4.2,0.0,0.8,0.1,0.0,5.1,173
Comunidad Valenciana,Castellon,43,Diciembre,11.4,15.8,7.0,42,68,4.4,0.0,0.3,0.3,0.1,7.0,164
Castilla y Leon,Avila,1130,Enero,3.0,7.6,-1.6,34,78,5.9,4.5,0.1,4.5,20.1,5.4,133
Castilla y Leon,Avila,1130,Febrero,4.3,9.4,0.0,24,72,5.0,4.3,0.1,2.3,16.4,5.1,154
Castilla y Leon,Avila,1130,Marzo,6.7,12.6,0.8,23,63,4.2,2.3,0.3,1.5,12.6,6.8,212
Castilla y Leon,Avila,1130,Abril,8.5,14.3,2.7,40,63,7.8,2.2,0.8,1.2,6.6,4.4,223
Castilla y Leon,Avila,1130,Mayo,12.5,18.5,6.4,55,59,9.0,0.4,2.1,1.0,1.7,3.4,253
Castilla y Leon,Avila,1130,Junio,17.4,24.6,10.2,33,51,4.7,0.0,2.6,0.6,0.1,7.9,312
Castilla y Leon,Avila,1130,Julio,20.6,28.5,12.6,12,43,1.9,0.0,1.9,0.3,0.0,15.0,353
Castilla y Leon,Avila,1130,Agosto,20.2,27.9,12.4,19,45,2.6,0.0,2.0,0.3,0.0,12.0,322
Castilla y Leon,Avila,1130,Septiembre,16.5,23.4,9.6,30,56,4.4,0.0,1.4,0.7,0.3,7.9,244
Castilla y Leon,Avila,1130,Octubre,11.4,16.9,5.9,53,69,7.6,0.1,0.4,1.3,1.7,4.9,182
Castilla y Leon,Avila,1130,Noviembre,6.4,11.2,1.7,48,78,7.1,1.9,0.1,3.4,11.5,4.3,131
Castilla y Leon,Avila,1130,Diciembre,4.0,8.4,-0.4,42,79,6.7,3.2,0.0,4.1,16.3,4.6,117
Castilla y Leon,Burgos aeropuerto,891,Enero,3.1,7.0,-0.8,44,85,7.5,4.7,0.1,6.8,18.0,2.7,86
Castilla y Leon,Burgos aeropuerto,891,Febrero,4.1,9.0,-0.8,35,77,6.9,3.7,0.1,3.8,17.2,2.9,116
Castilla y Leon,Burgos aeropuerto,891,Marzo,7.0,12.9,1.1,34,69,6.1,2.8,0.4,1.6,12.3,4.4,175
Castilla y Leon,Burgos aeropuerto,891,Abril,8.6,14.4,2.7,61,69,9.2,1.9,1.5,1.1,6.6,2.8,185
Castilla y Leon,Burgos aeropuerto,891,Mayo,12.2,18.4,5.9,63,67,9.3,0.3,4.0,1.5,1.1,2.9,226
Castilla y Leon,Burgos aeropuerto,891,Junio,16.5,23.7,9.2,41,62,5.7,0.0,3.4,1.3,0.1,6.0,277
Castilla y Leon,Burgos aeropuerto,891,Julio,19.5,27.6,11.5,23,57,3.6,0.0,3.3,0.8,0.0,10.5,320
Castilla y Leon,Burgos aeropuerto,891,Agosto,19.5,27.5,11.5,23,58,3.4,0.0,3.0,1.3,0.0,8.2,292
Castilla y Leon,Burgos aeropuerto,891,Septiembre,16.1,23.3,8.9,38,65,5.3,0.0,1.9,1.7,0.1,5.8,220
Castilla y Leon,Burgos aeropuerto,891,Octubre,11.5,17.2,5.9,60,74,8.3,0.0,0.6,2.9,1.9,3.1,151
Castilla y Leon,Burgos aeropuerto,891,Noviembre,6.6,10.9,2.1,60,82,8.7,1.7,0.1,4.6,9.7,2.8,99
Castilla y Leon,Burgos aeropuerto,891,Diciembre,3.9,7.7,0.2,63,85,9.3,3.4,0.1,6.0,15.0,3.0,78
Castilla y Leon,Leon,912,Enero,3.2,7.1,-0.7,50,82,7.6,4.1,0.0,8.1,18.6,5.8,130
Castilla y Leon,Leon,912,Febrero,4.7,9.5,0.0,34,74,6.0,3.1,0.1,2.8,15.0,5.8,161
Castilla y Leon,Leon,912,Marzo,7.6,13.3,1.9,32,66,5.6,1.6,0.3,1.0,9.4,6.9,214
Castilla y Leon,Leon,912,Abril,9.0,14.8,3.3,45,65,7.7,0.9,1.2,0.3,5.2,4.1,228
Castilla y Leon,Leon,912,Mayo,12.6,18.6,6.6,56,62,8.8,0.1,3.9,0.6,0.7,3.6,259
Castilla y Leon,Leon,912,Junio,17.1,24.0,10.2,31,56,4.6,0.0,2.9,0.2,0.0,7.3,314
Castilla y Leon,Leon,912,Julio,19.8,27.4,12.2,19,52,2.8,0.0,3.0,0.1,0.0,12.3,358
Castilla y Leon,Leon,912,Agosto,19.6,26.9,12.3,23,54,2.7,0.0,2.6,0.1,0.0,11.8,327
Castilla y Leon,Leon,912,Septiembre,16.5,22.9,10.1,39,62,4.5,0.0,1.5,0.2,0.0,9.0,246
Castilla y Leon,Leon,912,Octubre,11.7,16.7,6.7,61,74,8.2,0.0,0.4,1.7,0.7,4.9,178
Castilla y Leon,Leon,912,Noviembre,7.0,11.2,2.8,59,80,7.5,0.8,0.0,4.8,7.3,5.4,137
Castilla y Leon,Leon,912,Diciembre,4.2,8.0,0.4,66,83,8.7,2.2,0.1,7.9,14.6,6.3,120
Castilla y Leon,Ponferrada,534,Enero,4.9,8.7,1.1,67,82,8.8,1.6,0.1,5.6,12.9,5.6,0
Castilla y Leon,Ponferrada,534,Febrero,6.9,11.9,1.8,54,73,7.5,1.2,0.0,1.2,9.6,5.3,0
Castilla y Leon,Ponferrada,534,Marzo,10.0,15.9,4.0,46,65,7.7,0.4,0.2,0.4,4.1,7.0,0
Castilla y Leon,Ponferrada,534,Abril,11.6,17.6,5.7,50,64,9.1,0.3,0.4,0.2,1.0,4.6,0
Castilla y Leon,Ponferrada,534,Mayo,14.9,21.2,8.7,54,63,9.6,0.0,2.2,0.2,0.0,3.5,0
Castilla y Leon,Ponferrada,534,Junio,19.3,26.4,12.3,32,59,5.0,0.0,2.5,0.1,0.0,6.9,0
Castilla y Leon,Ponferrada,534,Julio,21.8,29.4,14.2,23,57,3.4,0.0,2.8,0.0,0.0,11.3,0
Castilla y Leon,Ponferrada,534,Agosto,21.4,29.0,13.8,25,57,3.7,0.0,2.5,0.0,0.0,10.7,0
Castilla y Leon,Ponferrada,534,Septiembre,18.2,24.9,11.5,49,63,5.9,0.0,1.5,0.4,0.0,8.9,0
Castilla y Leon,Ponferrada,534,Octubre,13.4,18.5,8.3,81,74,10.1,0.0,0.6,2.3,0.0,4.5,0
Castilla y Leon,Ponferrada,534,Noviembre,8.5,12.5,4.4,82,81,9.7,0.2,0.1,5.4,4.8,5.8,0
Castilla y Leon,Ponferrada,534,Diciembre,5.4,8.8,2.0,89,84,10.5,1.0,0.1,7.4,10.8,5.0,0
Castilla y Leon,Salamanca aeropuerto,790,Enero,4.0,8.6,-0.7,30,82,5.8,1.6,0.0,9.1,18.5,4.0,118
Castilla y Leon,Salamanca aeropuerto,790,Febrero,5.5,11.2,-0.2,25,73,5.4,1.9,0.1,4.4,15.7,4.5,154
Castilla y Leon,Salamanca aeropuerto,790,Marzo,8.3,14.9,1.7,21,63,4.7,0.8,0.4,2.0,10.2,6.4,211
Castilla y Leon,Salamanca aeropuerto,790,Abril,10.1,16.5,3.8,38,62,7.4,0.8,0.9,1.6,3.9,4.1,224
Castilla y Leon,Salamanca aeropuerto,790,Mayo,14.0,20.6,7.3,47,59,7.9,0.2,2.7,0.8,0.6,3.4,265
Castilla y Leon,Salamanca aeropuerto,790,Junio,18.8,26.6,11.0,29,52,3.8,0.0,3.5,0.5,0.0,7.5,317
Castilla y Leon,Salamanca aeropuerto,790,Julio,21.5,30.0,12.9,11,47,1.8,0.0,2.5,0.1,0.0,14.9,358
Castilla y Leon,Salamanca aeropuerto,790,Agosto,21.1,29.5,12.6,12,51,1.9,0.0,2.1,0.1,0.0,12.1,330
Castilla y Leon,Salamanca aeropuerto,790,Septiembre,17.6,25.1,10.0,32,59,4.2,0.0,2.1,1.1,0.0,7.3,251
Castilla y Leon,Salamanca aeropuerto,790,Octubre,12.6,18.9,6.4,46,71,7.1,0.0,0.6,3.6,1.4,4.3,183
Castilla y Leon,Salamanca aeropuerto,790,Noviembre,7.6,12.8,2.4,40,79,6.9,0.5,0.2,6.6,10.4,4.1,130
Castilla y Leon,Salamanca aeropuerto,790,Diciembre,4.9,9.4,0.4,42,83,6.9,1.2,0.1,8.9,16.0,3.8,104
Castilla y Leon,Segovia,1005,Enero,4.3,8.2,0.3,38,74,6.9,0,0.0,3.9,14.5,4.5,124
Castilla y Leon,Segovia,1005,Febrero,5.8,10.4,1.1,31,66,6.0,3.1,0.0,2.0,10.0,4.8,152
Castilla y Leon,Segovia,1005,Marzo,8.6,13.9,3.2,30,59,5.9,1.7,0.1,1.3,6.1,5.4,203
Castilla y Leon,Segovia,1005,Abril,9.7,15.1,4.2,44,59,8.0,1.5,0.8,0.6,4.2,3.4,213
Castilla y Leon,Segovia,1005,Mayo,14.0,19.7,8.2,66,57,10.1,0.2,3.7,0.7,0.5,3.3,250
Castilla y Leon,Segovia,1005,Junio,19.0,25.8,12.1,43,48,4.8,0.0,4.2,0.6,0.0,6.9,314
Castilla y Leon,Segovia,1005,Julio,22.2,29.7,14.6,17,39,2.7,0.0,2.6,0.2,0.0,12.5,358
Castilla y Leon,Segovia,1005,Agosto,22.1,29.4,14.8,20,40,3.0,0.0,3.8,0.1,0.0,10.4,328
Castilla y Leon,Segovia,1005,Septiembre,17.7,24.0,11.4,28,50,4.7,0.0,2.1,0.4,0.0,5.8,246
Castilla y Leon,Segovia,1005,Octubre,13.0,18.0,7.9,59,63,8.9,0.1,0.6,1.0,0.7,4.0,177
Castilla y Leon,Segovia,1005,Noviembre,7.6,11.8,3.4,52,72,8.6,1.6,0.0,2.7,5.8,3.9,126
Castilla y Leon,Segovia,1005,Diciembre,5.1,8.8,1.3,46,75,8.2,2.2,0.0,4.1,11.7,3.6,110
Castilla y Leon,Soria,1082,Enero,3.2,7.7,-1.3,37,77,7.1,5.0,0.0,4.0,19.7,4.8,138
Castilla y Leon,Soria,1082,Febrero,4.3,9.6,-1.0,36,71,6.4,5.1,0.1,1.9,17.1,4.6,158
Castilla y Leon,Soria,1082,Marzo,7.1,13.2,1.0,30,63,5.8,3.0,0.3,1.0,12.0,5.1,202
Castilla y Leon,Soria,1082,Abril,8.7,14.6,2.8,55,64,8.6,2.5,1.3,1.0,5.9,2.8,208
Castilla y Leon,Soria,1082,Mayo,12.5,18.7,6.2,67,63,9.6,0.4,4.4,1.1,0.8,2.0,244
Castilla y Leon,Soria,1082,Junio,17.2,24.6,9.9,40,56,5.6,0.1,4.4,0.6,0.1,4.7,293
Castilla y Leon,Soria,1082,Julio,20.5,28.7,12.4,30,50,3.7,0.0,4.1,0.1,0.0,9.0,339
Castilla y Leon,Soria,1082,Agosto,20.3,28.3,12.2,30,52,3.8,0.0,4.4,0.2,0.0,7.4,313
Castilla y Leon,Soria,1082,Septiembre,16.4,23.6,9.3,33,60,5.2,0.0,2.9,0.9,0.1,5.4,233
Castilla y Leon,Soria,1082,Octubre,11.6,17.4,5.8,55,70,7.7,0.1,0.7,2.1,1.5,3.6,180
Castilla y Leon,Soria,1082,Noviembre,6.7,11.5,1.9,50,75,7.6,2.1,0.1,2.7,9.2,4.9,143
Castilla y Leon,Soria,1082,Diciembre,4.0,8.4,-0.4,50,78,7.7,3.9,0.1,4.7,17.4,5.3,126
Castilla y Leon,Valladolid,735,Enero,4.2,8.2,0.2,40,83,6.3,3.0,0.0,10.4,15.9,3.5,101
Castilla y Leon,Valladolid,735,Febrero,5.9,11.2,0.7,27,72,5.2,2.1,0.1,3.7,12.8,4.3,147
Castilla y Leon,Valladolid,735,Marzo,9.0,15.2,2.8,22,62,4.8,0.8,0.2,1.6,6.7,6.0,215
Castilla y Leon,Valladolid,735,Abril,10.7,16.9,4.6,46,62,7.8,0.8,1.4,0.9,2.3,3.9,232
Castilla y Leon,Valladolid,735,Mayo,14.5,21.0,7.9,49,60,7.9,0.0,3.6,0.9,0.3,3.5,272
Castilla y Leon,Valladolid,735,Junio,19.3,27.0,11.6,29,52,4.5,0.0,3.6,0.6,0.0,7.8,322
Castilla y Leon,Valladolid,735,Julio,22.3,30.7,14.0,13,45,2.1,0.0,2.9,0.3,0.0,14.1,363
Castilla y Leon,Valladolid,735,Agosto,22.1,30.1,14.1,16,48,2.3,0.0,2.6,0.2,0.0,11.8,334
Castilla y Leon,Valladolid,735,Septiembre,18.5,25.6,11.3,31,56,4.3,0.0,1.8,0.9,0.0,7.5,254
Castilla y Leon,Valladolid,735,Octubre,13.2,18.9,7.6,55,70,7.5,0.0,0.7,3.0,0.5,4.2,182
Castilla y Leon,Valladolid,735,Noviembre,7.9,12.4,3.5,52,79,7.1,0.7,0.1,7.1,5.8,3.5,117
Castilla y Leon,Valladolid,735,Diciembre,5.0,8.6,1.3,53,84,7.7,1.4,0.0,9.2,12.4,3.2,89
Castilla y Leon,Valladolid aeropuerto,846,Enero,3.3,7.5,-0.9,36,86,6.4,2.5,0.1,10.8,19.6,3.6,118
Castilla y Leon,Valladolid aeropuerto,846,Febrero,4.9,10.3,-0.4,26,76,5.4,2.4,0.0,5.0,16.5,4.0,158
Castilla y Leon,Valladolid aeropuerto,846,Marzo,7.8,14.0,1.5,23,66,4.9,0.6,0.1,2.8,11.0,6.6,205
Castilla y Leon,Valladolid aeropuerto,846,Abril,9.3,15.5,3.0,43,66,7.6,0.8,1.2,1.5,6.3,4.4,227
Castilla y Leon,Valladolid aeropuerto,846,Mayo,12.8,19.4,6.2,53,64,8.0,0.1,3.3,1.9,1.5,3.9,274
Castilla y Leon,Valladolid aeropuerto,846,Junio,17.6,25.3,9.9,30,56,4.6,0.0,3.1,0.7,0.0,8.3,323
Castilla y Leon,Valladolid aeropuerto,846,Julio,20.6,29.1,12.1,15,48,2.2,0.0,2.6,0.3,0.0,13.7,368
Castilla y Leon,Valladolid aeropuerto,846,Agosto,20.5,28.6,12.4,21,51,2.6,0.0,2.4,0.4,0.0,11.9,342
Castilla y Leon,Valladolid aeropuerto,846,Septiembre,17.2,24.4,10.1,32,60,4.5,0.0,1.7,1.2,0.0,8.0,242
Castilla y Leon,Valladolid aeropuerto,846,Octubre,12.2,17.9,6.5,52,74,7.5,0.0,0.6,3.8,1.1,4.7,191
Castilla y Leon,Valladolid aeropuerto,846,Noviembre,7.1,11.8,2.3,51,83,7.2,0.9,0.1,7.4,9.1,3.3,133
Castilla y Leon,Valladolid aeropuerto,846,Diciembre,4.1,8.2,0.1,53,87,7.7,1.2,0.1,9.4,15.6,4.0,103
Castilla y Leon,Zamora,656,Enero,4.6,8.3,0.9,32,82,6.1,1.1,0.1,9.1,14.4,4.7,97
Castilla y Leon,Zamora,656,Febrero,6.4,11.4,1.3,25,73,5.1,1.2,0.0,3.3,11.2,5.2,144
Castilla y Leon,Zamora,656,Marzo,9.5,15.5,3.5,22,63,5.0,0.2,0.2,1.0,5.0,6.0,201
Castilla y Leon,Zamora,656,Abril,11.2,17.1,5.3,39,62,7.2,0.2,0.6,0.4,1.2,5.2,224
Castilla y Leon,Zamora,656,Mayo,15.0,21.2,8.7,43,58,7.4,0.0,2.8,0.2,0.0,5.0,264
Castilla y Leon,Zamora,656,Junio,19.8,27.0,12.6,23,51,3.8,0.0,2.0,0.1,0.0,9.6,318
Castilla y Leon,Zamora,656,Julio,22.7,30.4,14.9,12,47,2.0,0.0,2.0,0.0,0.0,15.0,354
Castilla y Leon,Zamora,656,Agosto,22.3,29.8,14.8,13,50,2.4,0.0,2.0,0.0,0.0,13.9,322
Castilla y Leon,Zamora,656,Septiembre,18.8,25.5,12.0,28,57,4.2,0.0,1.4,0.3,0.0,9.7,241
Castilla y Leon,Zamora,656,Octubre,13.6,19.0,8.3,50,69,6.9,0.0,0.4,2.3,0.1,5.0,175
Castilla y Leon,Zamora,656,Noviembre,8.4,12.7,4.1,45,78,7.1,0.2,0.1,5.9,5.2,5.3,113
Castilla y Leon,Zamora,656,Diciembre,5.5,9.2,1.8,46,82,7.0,0.8,0.1,7.0,11.0,4.9,87
Comunidad de Madrid,Colmenar Viejo,1004,Enero,4.8,8.0,1.6,52,77,5.7,3.1,0.0,8.1,9.2,0,140
Comunidad de Madrid,Colmenar Viejo,1004,Febrero,6.3,10.0,2.5,41,70,5.3,3.0,0.1,5.0,6.7,0,165
Comunidad de Madrid,Colmenar Viejo,1004,Marzo,9.3,13.9,4.7,36,61,5.0,1.4,0.4,3.1,3.0,0,201
Comunidad de Madrid,Colmenar Viejo,1004,Abril,10.5,15.2,5.7,52,60,6.7,0.7,1.0,3.0,1.5,0,218
Comunidad de Madrid,Colmenar Viejo,1004,Mayo,14.8,20.0,9.6,57,58,7.6,0.0,2.4,1.6,0.1,0,0
Comunidad de Madrid,Colmenar Viejo,1004,Junio,20.1,26.0,14.1,28,48,3.5,0.0,2.7,0.5,0.0,0,-0
Comunidad de Madrid,Colmenar Viejo,1004,Julio,23.8,30.0,17.4,14,40,1.9,0.0,2.1,0.4,0.0,0,356
Comunidad de Madrid,Colmenar Viejo,1004,Agosto,23.6,29.7,17.6,16,42,1.8,0.0,2.4,0.3,0.0,13.1,317
Comunidad de Madrid,Colmenar Viejo,1004,Septiembre,19.0,24.3,13.8,36,54,4.0,0.0,2.1,2.0,0.0,7.1,233
Comunidad de Madrid,Colmenar Viejo,1004,Octubre,13.4,17.4,9.4,76,70,7.4,0.0,0.8,5.2,0.0,0,-0
Comunidad de Madrid,Colmenar Viejo,1004,Noviembre,8.3,11.7,4.9,78,75,7.2,0.8,0.1,6.2,2.2,0,150
Comunidad de Madrid,Colmenar Viejo,1004,Diciembre,5.6,8.7,2.5,68,78,7.5,1.9,0.1,9.8,6.6,0,0
Comunidad de Madrid,Getafe,620,Enero,5.9,10.5,1.2,30,76,5.5,1.0,0.0,6.2,12.9,7.4,150
Comunidad de Madrid,Getafe,620,Febrero,7.5,12.7,2.4,32,68,5.1,1.1,0.2,3.0,6.5,6.2,172
Comunidad de Madrid,Getafe,620,Marzo,10.8,16.8,4.9,24,58,4.1,0.3,0.5,1.0,2.5,7.0,222
Comunidad de Madrid,Getafe,620,Abril,12.7,18.6,6.9,38,56,6.5,0.1,1.4,0.4,0.4,5.2,237
Comunidad de Madrid,Getafe,620,Mayo,16.8,23.0,10.5,39,52,6.3,0.0,3.8,0.5,0.1,4.4,279
Comunidad de Madrid,Getafe,620,Junio,22.4,29.3,15.6,19,42,2.9,0.0,3.2,0.1,0.0,8.5,326
Comunidad de Madrid,Getafe,620,Julio,25.9,33.2,18.5,9,35,1.4,0.0,2.2,0.0,0.0,17.2,368
Comunidad de Madrid,Getafe,620,Agosto,25.4,32.5,18.2,9,38,1.7,0.0,2.2,0.0,0.0,14.3,339
Comunidad de Madrid,Getafe,620,Septiembre,21.1,27.5,14.6,22,48,2.9,0.0,2.0,0.5,0.0,7.9,256
Comunidad de Madrid,Getafe,620,Octubre,15.3,20.6,9.9,50,64,6.6,0.0,1.2,1.5,0.0,5.3,202
Comunidad de Madrid,Getafe,620,Noviembre,9.8,14.5,5.0,48,73,6.1,0.0,0.1,3.7,2.9,6.2,152
Comunidad de Madrid,Getafe,620,Diciembre,6.5,10.7,2.4,45,79,6.6,0.6,0.1,6.3,9.7,5.5,124
Comunidad de Madrid,Madrid Cuatro Vientos,690,Enero,6.0,10.4,1.6,34,75,5.6,1.3,0.0,6.0,10.1,7.7,158
Comunidad de Madrid,Madrid Cuatro Vientos,690,Febrero,7.6,12.5,2.7,35,67,5.3,1.4,0.1,3.1,5.4,5.9,173
Comunidad de Madrid,Madrid Cuatro Vientos,690,Marzo,10.8,16.5,5.1,25,57,4.2,0.4,0.4,0.9,1.9,7.1,221
Comunidad de Madrid,Madrid Cuatro Vientos,690,Abril,12.6,18.3,6.8,43,56,6.7,0.3,1.6,0.6,0.3,4.9,238
Comunidad de Madrid,Madrid Cuatro Vientos,690,Mayo,16.5,22.6,10.4,50,53,7.2,0.0,3.5,0.2,0.1,4.3,280
Comunidad de Madrid,Madrid Cuatro Vientos,690,Junio,22.2,28.9,15.4,24,43,3.2,0.0,2.8,0.1,0.0,8.9,316
Comunidad de Madrid,Madrid Cuatro Vientos,690,Julio,25.6,32.8,18.3,12,36,1.6,0.0,2.6,0.0,0.0,17.0,364
Comunidad de Madrid,Madrid Cuatro Vientos,690,Agosto,25.1,32.2,18.1,11,39,1.4,0.0,1.7,0.0,0.0,13.3,335
Comunidad de Madrid,Madrid Cuatro Vientos,690,Septiembre,21.0,27.3,14.6,24,49,3.2,0.0,2.0,0.3,0.0,7.7,250
Comunidad de Madrid,Madrid Cuatro Vientos,690,Octubre,15.2,20.4,9.9,60,65,6.9,0.0,1.1,1.3,0.0,6.4,203
Comunidad de Madrid,Madrid Cuatro Vientos,690,Noviembre,9.8,14.3,5.4,57,73,6.7,0.1,0.2,3.4,2.1,6.3,161
Comunidad de Madrid,Madrid Cuatro Vientos,690,Diciembre,6.7,10.7,2.7,53,77,6.8,0.9,0.1,5.5,7.3,6.0,135
Comunidad de Madrid,Madrid Retiro,667,Enero,6.3,9.8,2.7,33,71,5.7,1.0,0.1,3.5,6.2,7.8,149
Comunidad de Madrid,Madrid Retiro,667,Febrero,7.9,12.0,3.7,34,65,5.2,1.3,0.1,2.2,3.0,6.9,158
Comunidad de Madrid,Madrid Retiro,667,Marzo,11.2,16.3,6.2,25,55,4.1,0.2,0.5,0.9,1.0,7.5,211
Comunidad de Madrid,Madrid Retiro,667,Abril,12.9,18.2,7.7,45,56,6.7,0.3,1.3,0.4,0.1,5.4,230
Comunidad de Madrid,Madrid Retiro,667,Mayo,16.7,22.2,11.3,50,53,7.3,0.0,2.9,0.1,0.0,4.6,268
